1,一马当先
2,先发制人
3,人山人海
4,海枯石烂
5,烂醉如泥
6,泥沙俱下
7,下不为例
8,例行公事
9,事在人为
10,为所欲为
11,为富不仁
12,仁至义尽
13,尽善尽美
14,美中不足
15,足智多谋
